time,Open,High,Low,Close
2018.11.07 08-46-05,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-10,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-15,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-25,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-46-30,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-35,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-40,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-45,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-50,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-55,6518.0,6518.5,6518.5,6518.0
2018.11.07 08-47-00,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-47-05,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-47-10,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-47-15,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-47-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-47-25,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-47-30,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-47-35,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-47-40,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-47-45,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-47-50,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-47-55,6518.0,6518.5,6518.5,6518.0
2018.11.07 08-48-00,6518.0,6518.5,6518.0,6518.5
2018.11.07 08-48-05,6518.5,6518.5,6518.0,6518.5
2018.11.07 08-48-10,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-15,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-25,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-30,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-35,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-40,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-45,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-50,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-55,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-00,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-05,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-49-10,6518.0,6518.5,6518.0,6518.5
2018.11.07 08-49-15,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-25,6518.5,6518.5,6518.0,6518.5
2018.11.07 08-49-30,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-49-35,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-49-40,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-45,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-50,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-55,6518.5,6518.5,6518.5,6518.5
